Title,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Key,Score
3-1.mid,1933,469,1820,3458,659,2542,715,2736,1964,767,4561,628,0,1.0073974
3-2.mid,1955,106,826,795,419,885,156,2120,675,243,357,598,0,0.29648027
3-3.mid,596,175,702,1670,53,653,69,842,607,145,1591,83,0,1.3376708
3-4.mid,1109,201,1518,2309,225,1271,442,2210,1035,699,3448,283,0,1.0164046
symphony_1_1_(c)lucarelli.mid,6516,542,5016,754,3686,2258,1058,6414,544,2390,608,2738,2,0.48892143
symphony_1_2_(c)lucarelli.mid,4352,384,834,128,1536,1986,210,2404,178,1642,802,486,2,0.99332976
symphony_1_3_(c)lucarelli.mid,3632,540,1342,438,1468,1044,562,2722,386,550,378,768,2,0.7391851
symphony_1_4_(c)lucarelli.mid,4214,256,3654,250,2524,1642,754,4750,108,1460,442,1962,2,0.43333334
symphony_2_1_(c)lucarelli.mid,2148,3474,11118,1080,5704,2272,3812,3354,1504,9922,1382,2978,3,1.132645
symphony_2_2_(c)lucarelli.mid,1252,1614,1382,400,4178,374,1008,536,1548,2408,290,2518,3,2.028018
symphony_2_3_(c)lucarelli.mid,204,736,2604,126,1166,648,1590,736,284,2184,538,404,3,1.1828793
symphony_2_4_(c)lucarelli.mid,1232,2848,6728,234,2602,788,2372,2520,634,5676,542,2084,3,1.2290583
symphony_4_1_(c)lucarelli.mid,5788,984,4214,2110,1596,6792,606,2840,554,3400,7948,612,10,0.13151215
symphony_4_2_(c)lucarelli.mid,994,186,954,2346,182,2166,236,1294,1206,220,3366,302,3,0.09135161
symphony_4_3_(c)lucarelli.mid,1986,424,2250,1836,284,3860,542,736,534,2168,4652,166,10,0.11150503
symphony_4_4_(c)lucarelli.mid,4874,508,3108,2102,1338,6370,358,2504,516,2966,4628,912,10,0.13678819
symphony_5_1_(c)unknown.mid,4314,352,2100,2660,532,2500,724,5152,1824,894,2008,996,3,0.17015274
symphony_5_2_(c)unknown.mid,3930,1116,390,3010,874,1028,124,1828,2436,180,1478,372,3,0.18907802
symphony_5_3_cunknown.mid,2542,184,1328,650,648,1342,368,3216,640,452,648,982,3,0.25409994
symphony_5_4_(c)unknown.mid,17036,768,10336,692,9730,6496,1424,15096,1366,4018,1042,6448,0,0.076518215
symphony_6_1_ccvikl.mid,7540,82,2692,148,2740,5274,364,4432,222,4192,2192,1194,5,0.06916248
symphony_6_2_ccvikl.mid,4056,238,3416,1608,1008,5058,358,2652,390,2612,4098,590,10,0.10995745
symphony_6_3_ccvikl.mid,2542,78,1094,84,1016,2520,260,1492,0,2224,704,258,5,0.058661144
symphony_7_1_(c)cvikl.mid,2728,4054,3498,784,10248,1794,2320,2184,2430,8798,754,4036,5,0.4540728
symphony_7_2_(c)cvikl.mid,1190,534,1262,114,3004,330,614,800,604,2146,76,1440,5,0.3753406
symphony_7_3_(c)cvikl.mid,3652,1180,2722,282,3870,6766,1160,2546,516,8100,1724,706,9,0.8200942
symphony_7_4_(c)cvikl.mid,1852,3730,3464,870,9284,1722,2006,1608,2508,7816,808,3324,0,0.34131408
symphony_9_1_(c)cvikl.mid,3850,2176,15950,1766,4706,6160,2164,5304,818,11686,5470,1820,5,0.16458984
symphony_9_2_(c)cvikl.mid,5296,1852,14190,1366,6914,9198,1616,7242,766,13752,3100,2096,9,0.6361871
symphony_9_3_(c)cvikl.mid,1762,216,2110,1676,440,3616,624,1336,106,1464,3238,410,5,0.21709867
symphony_9_4_(c)cvikl.mid,3262,6422,16164,1766,11582,3296,11948,8650,1756,19842,4084,6746,10,0.673875
